,title,originallink,link,description,pubDate,context
8,[<b>삼성</b> 신성장동력] 新모델 없는 &apos;갤럭시 <b>버즈</b>&apos;…재고 문제 해결해야,https://dealsite.co.kr/articles/97403,https://dealsite.co.kr/articles/97403,갤럭시 <b>버즈2 프로</b>와 갤럭시 Z 플립4·폴드4의 소프트웨어 <b>업데이트</b>를 시행한다고 밝혔다. 통상 <b>삼성전자</b>는... 시장조사업체 카운터포인트리서치는 2021년 무선이어폰 시장에서 <b>삼성전자</b>가 점유율 7.<b>2</b>%로 3위를 기록한... ,"Mon, 16 Jan 2023 08:36:00 +0900","약 6개월 사이로 신제품을 출시하던 삼성전자는 이후 1년 만인 2022년 8월 버즈 프로2(R510)를 출시했다. 이와 더불어 존 고급형, 중급형, 보급형 라인이었던 3개 라인도 버즈 라이브를 없애고 고급형과 보급형 2개 라인으로 재편했다. 13일 업계에 따르면 삼성전자는 2020년 2월 버즈 플러스(모델명 R175)를 첫 출시한 이후 같은 해 8월 버즈 라이브(R180)를 선보였다. 이어 2021년 1월 버즈 프로(R190), 같은해 8월 버즈2(R177)를 출시했다. 삼성전자는 매년 갤럭시 버즈, 버즈 라이브, 버즈 프로 등 꾸준히 신제품을 출시했다. 하지만 올해는 수익성, 재고 문제 등으로 인해 이어폰 신제품을 출시하지 않을 예정이다. [딜사이트 김민기 기자] 삼성전자의 새로운 먹거리로 보였던 무선 이어폰이 애플이라는 큰 벽과 중국 기업의 저가 공세를 막지 못하면서 어려움을 겪고 있다. ◆ 신제품대신 업데이트로 대응 업계에서는 올해 삼성전자의 무선 이어폰 신제품 출시는 없을 것으로 전망하고 있다. 2024년에 보급형 라인인 버즈3가 신제품으로 출시되고 고급형인 버즈 프로3는 2025년에나 나올 것으로 예상하고 있다. 실제 삼성전자는 이번 2월 1일 미국 샌프란시스코에서 열리는 '삼성 갤럭시 언팩 2023' 행사를 앞두고 버즈 신제품 출시를 대신해 업데이트를 실시하겠다고 밝혔다. 삼성전자는 스마트폰 동영상 촬영 시 360도 사운드 녹음이 가능하도록 갤럭시 버즈2 프로와 갤럭시 Z 플립4·폴드4의 소프트웨어 업데이트를 시행한다고 밝혔다. 통상 삼성전자는 언팩행사에서 무선 이어폰 신제품을 공개해 왔다. 삼성전자는 2020년 2월 갤럭시 S11과 함께 새로운 무선 이어폰인 '갤럭시 버즈 플러스'를 선보였다. 이 제품은 애플을 견제하기 위해 '에어팟 프로'처럼 액티브 노이즈 캔슬링 기능을 품었다. 지난해 8월 갤럭시 언팩 2022에서 갤럭시 Z 시리즈와 함께 무선 이어폰 갤럭시 버즈2 프로도 공개했다. 하지만 이번에는 소프트웨어 업데이트 이외에 새로운 신제품 출시는 이뤄지지 않는다. 삼성전자 관계자는 ""갤럭시 버즈2 신제품 나온 지가 6개월 밖에 안 된 상황""이라며 ""올해 신제품 출시와 관련해서는 아직 잘 모르겠다""고 답했다. ◆ 힘겨운 애플과 경쟁 그동안 삼성전자는 애플의 무선 이어폰 '에어팟'을 잡기 위해 공격적인 마케팅과 제품 출시를 이어왔다. 애플과 경쟁을 강화하기 위해 기존 3개였던 제품 라인도 2개로 줄이며 집중력을 높였다. 시장에서도 글로벌 스마트폰 시장 포화기에 무선 이어폰이 삼성전자의 새로운 먹거리가 될 것이라는 전망이 우세했다. 글로벌 시장조사업체 블루위브컨설팅에 따르면 무선 이어폰 시장 규모는 2021년 23조8443억원(182억7290만달러)에서 오는 2028년 87조3823억원(699억6480만달러)으로 약 3배 이상 성장할 것으로 점쳐졌다. 시장조사업체 스트래티지 애널리틱스(SA)도 글로벌 무선이어폰 시장 규모는 오는 2024년에는 12억대 규모까지 확대될 것으로 전망했다. 삼성전자 역시 2019년 초 갤럭시 버즈의 인기에 힘입어 애플에 이어 시장 점유율 2위를 기록하기도 했다. 그러나 샤오미 등 중국 업체의 공세가 만만치 않아 3위로 밀려났다. 시장조사업체 카운터포인트리서치는 2021년 무선이어폰 시장에서 삼성전자가 점유율 7.2%로 3위를 기록한 것으로 파악했다. 1위는 애플(25.6%), 2위는 샤오미(9.0%)가 차지했다. ◆ 신제품 출시에도 오히려 점유율 감소 문제는 지난해 삼성전자가 갤럭시 버즈2 프로 출시에도 불구하고 지난해 3분기 무선이어폰 시장에서 시장 점유율이 큰 폭으로 하락했다는 점이다. 시장조사기관 카날리스 보고서에 따르면 지난해 3분기 애플은 에어팟 프로2 출시로 전년 동기 대비 600만대가 늘어난 2380만대를 출하하며 시장 점유율이 24.6%에서 30.9%로 증가했다. 반면 갤럭시 버즈2 프로를 출시한 삼성전자는 오히려 출하량이 25% 감소한 것으로 나타났다. 삼성의 3분기 출하량은 전년 동기 대비 130만대가 감소했으며 시장 점유율 역시 12%에서 9.6%로 줄었다. 업계에서는 삼성전자의 판매량이 줄어든 것이 버즈2 프로의 높은 가격과 경기 침체로 인한 마케팅 비용 축소로 보고 있다. 또 샤오미, QCY, 스컬캔디와 같은 중저가 브랜드의 기술력이 올라오면서 시장 점유율을 높여가고 있고 애플과의 경쟁이 쉽지 않은 점도 이유다. IT업계 관계자는 ""과거에는 삼성전자가 신규 휴대폰을 출시하면 일부 금액을 지원해 주거나 다양한 프로모션으로 무선 이어폰을 무료 증정을 하는 경우가 많았다""면서 ""애플은 충성고객이 많다 보니 신재품이 나오면 판매가 꾸준히 이뤄졌지만 삼성의 경우는 마케팅 지원이 줄면서 고객들이 가격 부담을 느꼈고 성능도 기존과 크게 차이가 없어 판매도 같이 줄은 것으로 보인다""고 전했다. ◆ 재고문제 해결이 관건 일각에서는 신제품 출시가 늦어지는 이유가 재고 때문이라는 지적도 나온다. 판매량이 줄어들면서 재고가 늘어난 상황에서 이를 어느 정도 소진할 때까지 신제품 출시를 미루는 것이 아니냐는 추측이다. 전문가들 역시 애플 생태계에 비해 상대적으로 약한 갤럭시가 자체 생태계를 강화하고 삼성이 인수한 하만의 JBL와의 협력 등 현재 전략을 대대적으로 수정해야만 새로운 먹거리인 무선 이어폰 시장을 공략할 수 있을 것이라는 분석이다. 전자 업계 관계자는 ""단순히 프로모션이나 마케팅으로 시장을 공략하는 시대는 지났다. 최대한 가격 인상을 자제하고 품질 및 성능을 업그레이드 해 한다""면서 ""보급형 제품은 확실한 가성비 브랜드로 가고, 프리미엄 제품은 경쟁사를 뛰어넘는 기술력으로 충성 고객층을 확보하지 않으면 무선이어폰 시장에서 살아남기는 쉽지 않을 것""이라고 전했다."
9,"<b>삼성전자</b>, <b>버즈2 프로</b> SW<b>업데이트</b>… 360도 오디오 녹음 지원",https://www.viva100.com/main/view.php?key=20230113010003956,https://www.viva100.com/main/view.php?key=20230113010003956,"<b>삼성전자</b>, <b>버즈2 프로</b> SW<b>업데이트</b>… 360도 오디오 녹음 지원 <b>삼성전자</b>가 갤럭시<b>버즈2 프로</b>와 갤럭시워치를 통해 스마트폰 카메라 기능을 한 단계 높인다.<b>삼성전자</b>는 스마트폰 동영상 촬영 시 360도 사운드 녹음이... ","Fri, 13 Jan 2023 09:32:00 +0900","삼성전자는 갤럭시버즈2 프로와 갤럭시Z 플립4·폴드4의 소프트웨어 업데이트를 통해 360 오디오 레코딩 기능을 지원한다. (사진제공=삼성전자 삼성전자가 갤럭시버즈2 프로와 갤럭시워치를 통해 스마트폰 카메라 기능을 한 단계 높인다. 삼성전자는 스마트폰 동영상 촬영 시 360도 사운드 녹음이 가능하도록 갤럭시버즈2 프로와 갤럭시Z플립4·폴드4의 소프트웨어 업데이트를 실시한다고 13일 밝혔다. 갤럭시워치5와 워치4 시리즈의 소프트웨어 업데이트를 통해 스마트폰 카메라를 원격으로 줌인·줌아웃할 수 있는 기능도 추가한다. 삼성전자는 갤럭시버즈2 프로와 갤럭시Z플립4와 폴드4의 소프트웨어 업데이트를 통해 360도 오디오 레코딩 기능을 지원한다. 갤럭시버즈2 프로 좌우에 위치한 마이크를 모두 사용해 360도 사운드를 포착한다. 예를 들어, 버즈2 프로를 착용하고, 연결된 Z플립4·폴드4로 동영상을 촬영할 경우, 촬영자는 연결된 버즈2 프로를 통해 본인이 듣는 그대로의 생생한 몰입형 사운드를 녹음할 수 있다. 전문 장비 없이도 언제 어디서든, 누구나 고품질의 실감나는 오디오를 담을 수 있다. 특히 360 오디오 레코딩은 차세대 블루투스 오디오 기술 표준인 LE 오디오를 적용했다. LE 오디오 기술은 보다 풍부하고 섬세한 사운드, 매끄러운 연결성, 향상된 배터리 수명을 제공한다. 갤럭시워치5와 워치4 시리즈엔 카메라 줌 인 줌 아웃 기능을 추가해 사용성을 높인다. 해당 기능은 2월 중 기존의 워치 카메라 컨트롤러 앱에 추가된다. 현재는 사진 촬영, 촬영한 사진 보기, 촬영 모드 전환, 타이머 설정이 가능하다. 사용자는 시계 화면을 손가락으로 늘리거나 줄이는 핀치 동작이나, 시계의 베젤을 돌려 갤럭시 스마트폰의 카메라 줌을 원격으로 제어할 수 있다. 스마트폰을 먼 거리에 세워두고 단체 사진이나 단독 셀카를 찍을 때 카메라가 있는 곳까지 돌아갈 필요 없이 손목에서 바로 손쉽게 화면 배율 조정이 가능하다. 해당 기능은 원 UI 5.1 소프트웨어 지원 스마트폰과 연동해 이용할 수 있다. 적용 모델과 세부 시점은 추후 안내된다. 삼성전자 관계자는 ""삼성전자는 갤럭시 제품간 연동을 통해 보다 향상된 카메라 경험을 제공할 것""이라며 ""다음달 1일 진행되는 갤럭시 언팩에서 새로운 갤럭시 스마트폰과 관련된 더 많은 내용들이 소개될 것""이라고 밝혔다. 전화평 기자"
10,워치로 카메라 줌인하고 <b>버즈</b>로 동영상 녹음… <b>삼성</b> SW <b>업데이트</b>,http://moneys.mt.co.kr/news/mwView.php?no=2023011312052755639,https://n.news.naver.com/mnews/article/417/0000886647?sid=105,"<b>삼성전자</b> 대대적인 소프트웨어(SW) <b>업데이트</b>를 통해 스마트폰 카메라 사용성을 대폭 높였다. <b>삼성전자</b>는 무선 이어폰 갤럭시<b>버즈2 프로</b>, 폴더블폰(접이식 휴대폰) 갤럭시Z플립4·폴드4 SW <b>업데이트</b>를 진행한다고 13일... ","Fri, 13 Jan 2023 13:29:00 +0900","삼성전자 대대적인 소프트웨어(SW) 업데이트를 통해 스마트폰 카메라 사용성을 대폭 높였다.삼성전자는 무선 이어폰 갤럭시버즈2 프로, 폴더블폰(접이식 휴대폰) 갤럭시Z플립4·폴드4 SW 업데이트를 진행한다고 13일 밝혔다.갤럭시버즈2 프로를 낀 상태에서 갤럭시Z플립4폴드4로 동영상을 찍는 경우 촬영자는 연결된 갤럭시버즈2 프로를 통해 자신이 듣고 있는 생생한 소리를 담아낼 수 있다.과거엔 사운드 녹음은 스마트폰 마이크로만 할 수 있었다. 하지만 이번 업데이트로 본인 주위의 360도 풍부한 소리를 무선 이어폰을 통해 동영상에 입힐 수 있다.차세대 블루투스 오디오 기술 표준 LE(저전력) 오디오를 적용해 전력을 적게 소모하면서 음질 수준을 크게 개선했다. LE 오디오는 저전력·고품질이 장점인 만큼 보청기 시장에서도 각광을 받고 있다.삼성전자 관계자는 ""북적이는 행사장이나 물소리가 가득한 숲 한가운데서 동영상을 촬영할 때 연결된 갤럭시버즈2 프로로 자신이 듣는 그대로의 몰입형 사운드를 녹음할 수 있다""고 말했다.삼성전자는 갤럭시워치4·5의 SW도 업데이트할 방침이다. 스마트폰 카메라를 원격으로 줌인·아웃할 수 있는 기능을 탑재한다.해당 기능은 2월 중 기존 갤럭시워치 카메라 컨트롤러 애플리케이션(앱)에 추가된다. 사용자는 시계 화면을 손가락으로 늘리거나 줄이는 핀치 동작이나 시계의 베젤(테두리)을 돌려 갤럭시 스마트폰의 카메라 줌을 원격으로 제어할 수 있다.이에 따라 스마트폰을 먼 거리에 세워두고 단체 사진이나 단독 셀카를 찍을 때 카메라가 있는 곳까지 돌아가지 않고도 손목에서 손쉽게 화면 배율을 조정할 수 있다.이 기능은 원UI 5.1 소프트웨어 지원 스마트폰과 연동해 이용할 있다. 적용 모델과 세부 시점은 추후 안내할 예정이다.삼성전자 관계자는 ""삼성전자는 갤럭시 제품 간 연동을 통해 보다 향상된 카메라 경험을 제공할 것""이라며 ""다음달 2일 진행되는 갤럭시언팩(제품 공개)에서 새로운 갤럭시 스마트폰과 관련된 더 많은 내용들이 소개될 것""이라고 말했다."
11,"&quot;<b>버즈</b>로 360도 녹음, 워치로 줌 인&quot;…<b>삼성</b>, 폰카 편의성 높인다",http://www.newsis.com/view/?id=NISX20230113_0002157588&cID=13005&pID=13100,https://n.news.naver.com/mnews/article/003/0011640958?sid=105,<b>삼성전자</b>는 갤럭시 <b>버즈2 프로</b>와 갤럭시 Z 플립4∙폴드4의 소프트웨어 <b>업데이트</b>를 통해 &apos;360 오디오 레코딩&apos; 기능을 지원한다. 해당 기능을 통해 <b>버즈2 프로</b>를 착용하고 연결된 Z 플립4∙폴드4로 북적거리는 행사장 혹은... ,"Fri, 13 Jan 2023 08:50:00 +0900","기사내용 요약 플립·폴드4, 갤버즈2 프로, 갤워치4·5 SW 업데이트 진행 버즈2 프로에 '360 오디오 레코딩' 지원 ... 전방향 사운드 포착 갤워치로는 카메라 줌 인·아웃 ... ""베젤 돌려 카메라 줌 제어"" [서울=뉴시스]= 삼성전자가 갤럭시 버즈2 프로와 갤럭시 워치를 통해 스마트폰 카메라의 사용성을 한단계 더 진화시킨다.삼성전자는 스마트폰 동영상 촬영 시 360도 사운드 녹음이 가능하도록 갤럭시 버즈2 프로와 갤럭시 Z 플립4∙폴드4의 소프트웨어 업데이트를 13일부터 시행한다고 밝혔다. 갤럭시 워치5와 워치4 시리즈의 소프트웨어 업데이트를 통해 스마트폰 카메라를 원격으로 줌 인∙줌 아웃할 수 있는 기능도 추가된다.삼성전자는 갤럭시 버즈2 프로와 갤럭시 Z 플립4∙폴드4의 소프트웨어 업데이트를 통해 '360 오디오 레코딩' 기능을 지원한다.해당 기능을 통해 버즈2 프로를 착용하고 연결된 Z 플립4∙폴드4로 북적거리는 행사장 혹은 자연의 소리가 가득한 숲 한가운데서 동영상을 촬영할 경우 촬영자는 연결된 버즈2 프로를 통해 본인이 듣는 그대로의 생생한 몰입형 사운드를 녹음할 수 있게 된다.이는 갤럭시 버즈2 프로의 좌우에 위치한 마이크를 모두 사용해 360도 사운드를 포착하기 때문이다. 전문 장비 없이도 누구나 언제 어디서든 고품질의 실감나는 오디오를 동영상에 담을 수 있다는 게 삼성전자의 설명이다.특히 360 오디오 레코딩은 차세대 블루투스 오디오 기술 표준인 'LE 오디오(Low Energy Audio)'가 적용됐다. LE 오디오 기술은 보다 풍부하고 섬세한 사운드, 매끄러운 연결성, 향상된 배터리 수명을 제공한다.스마트폰 카메라 사용성 향상을 위해 갤럭시 워치5와 워치4 시리즈에 카메라 줌 인 줌 아웃 기능도 추가된다. 해당 기능은 오는 2월 중 기존의 워치 카메라 컨트롤러 앱에 추가된다. 현재는 사진 촬영, 촬영한 사진 보기, 촬영 모드 전환, 타이머 설정이 가능하다.사용자는 시계 화면을 손가락으로 늘리거나 줄이는 핀치 동작이나, 시계의 베젤을 돌려 갤럭시 스마트폰의 카메라 줌을 원격으로 제어할 수 있게 된다.이를 통해 스마트폰을 먼 거리에 세워두고 단체 사진이나 단독 셀카를 찍을 때 카메라가 있는 곳까지 돌아갈 필요 없이 손목에서 바로 손쉽게 화면 배율 조정이 가능해진다.해당 기능은 원 UI 5.1 소프트웨어 지원 스마트폰과 연동해 이용 가능하며, 적용 모델과 세부 시점은 추후 안내될 예정이다.삼성전자 관계자는 ""삼성전자는 갤럭시 제품간 연동을 통해 보다 향상된 카메라 경험을 제공할 것""이라며 ""다음달 1일 진행되는 갤럭시 언팩에서 새로운 갤럭시 스마트폰과 관련된 더 많은 내용들이 소개될 것""이라고 말했다."
12,"갤럭시 <b>버즈2 프로</b>·워치 등 <b>업데이트</b>, <b>삼성전자</b> &apos;스마트폰 카메라 사용성 차...",https://idsn.co.kr/news/view/1065583122569869,https://idsn.co.kr/news/view/1065583122569869,"▲ <b>삼성전자</b>는 갤럭시 <b>버즈2 프로</b>와 갤럭시 Z 플립4·폴드4의 소프트웨어 <b>업데이트</b>를 통해 360 오디오 레코딩 기능을 지원한다. 이를 통해, <b>버즈2 프로</b>를 착용하고 연결된 Z 플립4·폴드4로 북적거리는 행사장이나... ","Sun, 15 Jan 2023 13:38:00 +0900","▲ 삼성전자는 갤럭시 버즈2 프로와 갤럭시 Z 플립4·폴드4의 소프트웨어 업데이트를 통해 360 오디오 레코딩 기능을 지원한다. 이를 통해, 버즈2 프로를 착용하고 연결된 Z 플립4·폴드4로 북적거리는 행사장이나 새소리와 물소리가 가득한 숲 한가운데서 동영상을 촬영할 경우, 촬영자는 연결된 버즈2 프로를 통해 본인이 듣는 그대로의 생생한 몰입형 사운드를 녹음할 수 있게 된다(사진=삼성전자) [매일안전신문=손성창 기자] 삼성전자는 스마트폰 동영상 촬영 시 360도 사운드 녹음이 가능하도록 갤럭시 버즈2 프로와 갤럭시 Z플립4·폴드4의 소프트웨어 업데이트를 지난 13일부터 시행했다. 갤럭시 버즈2 프로와 갤럭시 워치를 통해 스마트폰 카메라의 사용성을 한단계 더 진화시키는 것이다. 갤럭시 버즈2 프로와 갤럭시 Z플립4·폴드4의 소프트웨어 업데이트를 통해 360 오디오 레코딩 기능을 지원한다. 버즈2 프로를 착용하고 연결된 Z플립4·폴드4로 북적거리는 행사장이나 새소리와 물소리가 가득한 숲 한가운데서 동영상을 촬영할 경우, 촬영자는 연결된 버즈2 프로를 통해 본인이 듣는 그대로의 생생한 몰입형 사운드를 녹음할 수 있게 된다. 이는 갤럭시 버즈2 프로의 좌우에 위치한 마이크를 모두 사용해 360도 사운드를 포착하기 때문이다. 전문 장비 없이도 언제 어디서든, 누구나 고품질의 실감나는 오디오를 동영상에 담을 수 있게 된다. 특히 360 오디오 레코딩은 차세대 블루투스 오디오 기술 표준인 LE오디오(Low Energy Audio)를 적용했다. LE오디오 기술은 풍부하고 섬세한 사운드, 매끄러운 연결성, 향상된 배터리 수명을 제공한다. 삼성전자는 갤럭시 워치5와 워치4 시리즈의 소프트웨어 업데이트를 통해 스마트폰 카메라를 원격으로 줌 인(Zooming In)·줌 아웃(Zooming Out)할 수 있는 기능을 추가한다. 스마트폰 카메라 사용성 향상하는 ㄷ것이다. 해당 기능은 2월 중 기존의 워치 카메라 컨트롤러 앱에 추가된다. 현재는 사진 촬영, 촬영한 사진 보기, 촬영 모드 전환, 타이머 설정이 가능하다. 사용자는 시계 화면을 손가락으로 늘리거나 줄이는 핀치 동작이나, 시계의 베젤을 돌려 갤럭시 스마트폰의 카메라 줌을 원격으로 제어할 수 있게 된다. 이를 통해 스마트폰을 먼 거리에 세워두고 단체 사진이나 단독 셀카를 찍을 때 카메라가 있는 곳까지 돌아갈 필요없이 손목에서 바로 손쉽게 화면 배율 조정이 가능해진다. 해당 기능은 원 UI 5.1 소프트웨어 지원 스마트폰과 연동해 이용 가능하다. 적용 모델과 세부 시점은 추후 안내된다. 삼성전자 관계자는 ""삼성전자는 갤럭시 제품간 연동을 통해 보다 향상된 카메라 경험을 제공할 것이라""며, ""다음달 1일 진행되는 갤럭시 언팩에서 새로운 갤럭시 스마트폰과 관련된 더 많은 내용들이 소개 될 것이라""고 강조했다. [저작권자 매일안전신문. 무단전재-재배포 금지]"
13,"<b>삼성전자</b>, <b>버즈2 프로</b>·워치로 스마트폰 카메라 사용성 한 차원 상향",http://www.joongboo.com/news/articleView.html?idxno=363574552,http://www.joongboo.com/news/articleView.html?idxno=363574552,<b>삼성전자</b>는 갤럭시 <b>버즈2 프로</b>와 갤럭시 Z 플립4?폴드4의 소프트웨어 <b>업데이트</b>를 통해 360 오디오 레코딩 기능을 지원한다. 사진=<b>삼성전자</b> <b>삼성전자</b>가 갤럭시 <b>버즈2 프로</b>와 갤럭시 워치를 통해 스마트폰 카메라의... ,"Sun, 15 Jan 2023 15:18:00 +0900","삼성전자는 갤럭시 버즈2 프로와 갤럭시 Z 플립4폴드4의 소프트웨어 업데이트를 통해 360 오디오 레코딩 기능을 지원한다. 사진=삼성전자 삼성전자가 갤럭시 버즈2 프로와 갤럭시 워치를 통해 스마트폰 카메라의 사용성을 한단계 더 진화시킨다고 15일 밝혔다. 삼성전자는 스마트폰 동영상 촬영 시 360도 사운드 녹음이 가능하도록 갤럭시 버즈2 프로와 갤럭시 Z 플립4폴드4의 소프트웨어 업데이트를 지난 13일부터 시행했다. 또한 갤럭시 워치5와 워치4 시리즈의 소프트웨어 업데이트를 통해 스마트폰 카메라를 원격으로 줌 인(Zooming In)·줌 아웃(Zooming Out) 할 수 있는 기능을 추가한다. 사용자가 듣는 대로 세상의 소리를 담아내는 '360 오디오 레코딩'은 버즈2 프로를 착용하고 연결된 Z 플립4폴드4로 북적거리는 행사장이나 새소리와 물소리가 가득한 숲 한가운데서 동영상을 촬영할 경우, 촬영자는 연결된 버즈2 프로를 통해 본인이 듣는 그대로의 생생한 몰입형 사운드를 녹음할 수 있게 한다. 이는 갤럭시 버즈2 프로의 좌우에 위치한 마이크를 모두 사용해 360도 사운드를 포착하기 때문이다. 전문 장비 없이도 언제 어디서든, 누구나 고품질의 실감나는 오디오를 동영상에 담을 수 있게 된다. 손목에서 바로 줌 인과 줌 아웃이 가능한 카메라 컨트롤러는 오는 2월 중 기존의 워치 카메라 컨트롤러 앱에 추가된다. 현재는 사진 촬영, 촬영한 사진 보기, 촬영 모드 전환, 타이머 설정이 가능하다. 사용자는 시계 화면을 손가락으로 늘리거나 줄이는 핀치 동작이나, 시계의 베젤을 돌려 갤럭시 스마트폰의 카메라 줌을 원격으로 제어할 수 있게 된다. 이를 통해 스마트폰을 먼 거리에 세워두고 단체 사진이나 단독 셀카를 찍을 때 카메라가 있는 곳까지 돌아갈 필요없이 손목에서 바로 손쉽게 화면 배율 조정이 가능해진다. 삼성전자 관계자는 ""삼성전자는 갤럭시 제품간 연동을 통해 보다 향상된 카메라 경험을 제공할 것""이라며 ""다음달 1일 진행되는 갤럭시 언팩에서 새로운 갤럭시 스마트폰과 관련된 더 많은 내용들이 소개 될 것""이라고 말했다. 김현우기자"
